ticker;value
0;0.012
1;0.024
2;0.016
3;0.036
4;0.024
5;0.024
6;0.036
7;0.012
8;0.024
9;0.024
10;0.036
11;0.024
12;0.024
13;0.024
14;0.024
15;0.024
16;0.036
17;0.024
18;0.024
19;0.024
20;0.024
21;0.044
22;10.782
23;51.706
24;131.572
25;205.888
26;280.948
27;352.585
28;497.003
29;578.955
30;775.772
31;970.648
32;1156.05
33;1356.61
34;1211.80
35;1475.78
36;2025.83
37;2230.01
38;2344.34
39;2613.34
40;2839.25
41;3211.14
42;3366.87
43;3481.81
44;3592.26
45;3729.11
46;3826.05
47;3918.43
48;4010.89
49;4015.01
50;4175.58
51;3961.63
52;4101.75
53;4166.83
54;4128.12
55;3493.39
56;2179.34
57;2717.25
58;3698.97
59;3122.88
60;2806.52
61;2406.75
62;2049.99
63;1914.97
64;1823.30
65;1982.11
66;1651.87
67;2667.81
68;2325.81
69;2982.50
70;2747.45
71;2336.65
72;2107.09
73;1403.15
74;1183.37
75;1035.37
76;1015.89
77;1056.85
78;923.855
79;413.083
80;212.518
81;122.591
82;222.439
83;174.744
84;58.708
85;16.971
86;1.633
87;0.024
88;0.036
89;0.024
90;0.024
91;0.016
92;0.036
93;0.012
94;0.024
95;0.036
