ticker;value
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;200
19;425
20;725
21;450
22;225
23;225
24;650
25;625
26;525
27;525
28;800
29;1075.00
30;1075.00
31;800
32;700
33;375
34;200
35;50
36;125
37;325
38;425
39;350
40;625
41;600
42;325
43;425
44;300
45;225
46;525
47;725
48;500
49;575
50;825
51;900
52;1000.00
53;850
54;700
55;950
56;1000.00
57;1100.00
58;1150.00
59;1125.00
60;1225.00
61;1750.00
62;1125.00
63;1225.00
64;700
65;1000.00
66;750
67;675
68;1150.00
69;1075.00
70;1475.00
71;1325.00
72;1400.00
73;1900.00
74;1550.00
75;2175.00
76;1300.00
77;625
78;325
79;750
80;1425.00
81;1700.00
82;2425.00
83;1300.00
84;1125.00
85;1325.00
86;1375.00
87;1225.00
88;1200.00
89;1625.00
90;2125.00
91;2450.00
92;2850.00
93;3625.00
94;4625.00
95;4350.00
