Date		Time of day	Germany/Austria/Luxembourg[Euro/MWh]	Denmark 1[Euro/MWh]	Denmark 2[Euro/MWh]	France[Euro/MWh]	Northern Italy[Euro/MWh]	Netherlands[Euro/MWh]	Poland[Euro/MWh]	Sweden 4[Euro/MWh]	Switzerland[Euro/MWh]	Slovenia[Euro/MWh]	Czech Republic[Euro/MWh]	Hungary[Euro/MWh]
23-Feb	2018	9:00 AM	55.5	55.5	55.5	61.88	-	73.36	-	55.5	59.39	55.5	58	62.28
23-Feb	2018	10:00 AM	54.1	54.1	54.1	58.56	-	66.3	-	54.1	57.08	90	50.8	61.49
23-Feb	2018	11:00 AM	45.24	46.35	46.35	55.47	-	48	-	46.35	56.63	93.36	46	61.58
23-Feb	2018	12:00 PM	40.71	42.77	42.77	52.36	-	43.6	-	42.77	53.6	84.55	41.7	60.98
23-Feb	2018	1:00 PM	37.01	40.29	40.29	46.73	-	42.9	-	40.29	53.28	75.76	50.99	59.01
23-Feb	2018	2:00 PM	37	39.44	39.44	43.84	-	43.6	-	39.44	53.91	90	51.99	57.93
23-Feb	2018	3:00 PM	38.79	39.74	39.74	45.46	-	42.7	-	39.74	56.62	76.42	50.99	57.84
23-Feb	2018	4:00 PM	44.33	44.33	44.33	44.76	-	44.46	-	44.33	56.05	74.39	51.99	60.29
23-Feb	2018	5:00 PM	50.48	50.48	50.48	54.32	-	54.32	-	50.48	56.34	74.2	55.99	73.17
23-Feb	2018	6:00 PM	53.97	53.97	53.97	61.87	-	61.87	-	53.97	60.49	73.8	57	71.72
23-Feb	2018	7:00 PM	48.93	48.93	48.93	63.79	-	62.3	-	48.09	60.35	71.25	50.49	65.37
23-Feb	2018	8:00 PM	41.81	41.81	41.81	57.62	-	49	-	41.81	57.61	65.99	44	52.58
23-Feb	2018	9:00 PM	38.71	38.71	38.71	50.03	-	44.9	-	38.71	55.01	38.71	40.34	40.77
23-Feb	2018	10:00 PM	37.8	37.8	37.78	54.4	-	42.8	-	37.78	55.68	37.8	38.29	38.29
23-Feb	2018	11:00 PM	36.04	36.04	36.05	50.83	-	37.5	-	36.05	53.77	36.04	35.1	35.1
24-Feb	2018	12:00 AM	37.08	37.08	37.08	55.34	-	47.9	-	37.55	58.02	37.08	35.6	35.6
24-Feb	2018	1:00 AM	34.96	34.96	34.96	54.65	-	48.8	-	37.05	56.59	34.96	34.52	34.52
24-Feb	2018	2:00 AM	33.08	33.08	33.08	49.04	-	46.4	-	36.95	56.72	33.08	34.1	34.1
24-Feb	2018	3:00 AM	31.61	31.61	31.61	45.25	-	39.9	-	36.84	53.08	31.61	33.24	33.24
24-Feb	2018	4:00 AM	31.22	31.22	31.22	46.4	-	38.22	-	36.99	54.29	31.22	33.07	33.07
24-Feb	2018	5:00 AM	29.09	29.09	29.09	48.17	-	38.27	-	37.05	54.2	29.09	33	33
24-Feb	2018	6:00 AM	32.98	32.98	32.98	49.68	-	38.83	-	37.59	52.05	32.98	30	38.82
24-Feb	2018	7:00 AM	37.05	37.05	37.96	50.15	-	39.22	-	37.96	56.42	37.05	31.5	44.07
24-Feb	2018	8:00 AM	33.05	33.05	38.03	54.87	-	54.49	-	38.03	58.04	33.05	27	51.14
24-Feb	2018	9:00 AM	31.12	31.12	40.21	59.83	-	64.96	-	40.21	59.13	31.12	25.54	52.74
24-Feb	2018	10:00 AM	17.55	28.1	41.38	60.85	-	40	-	41.38	60.81	34.17	21.82	56.73
24-Feb	2018	11:00 AM	3.4	28.16	41.17	61.48	-	39.23	-	41.17	60.87	34.09	20.7	57.02
24-Feb	2018	12:00 PM	-0.64	28.18	38.87	61.34	-	37.16	-	38.87	59	29.9	33.7	51.57
24-Feb	2018	1:00 PM	-15.08	25.45	37.78	61.05	-	34.9	-	37.78	58.52	29.5	34.2	46.63
24-Feb	2018	2:00 PM	-8.9	25.45	36.95	53.41	-	35.77	-	36.95	57.81	1.3	22.86	43.19
24-Feb	2018	3:00 PM	3.53	30.17	36.95	51.68	-	31.7	-	36.95	57.25	3.53	29.68	40.18
24-Feb	2018	4:00 PM	23.28	33.55	37.79	40.62	-	43.97	-	37.79	57.55	23.28	27.21	46.03
24-Feb	2018	5:00 PM	35.94	40.84	40.84	47.48	-	56.43	-	40.84	58.06	35.94	29	57.37
24-Feb	2018	6:00 PM	43.31	43.31	43.31	54.2	-	74.22	-	43.31	59.98	43.31	33	53.3
24-Feb	2018	7:00 PM	37.05	40.78	40.78	61.96	-	48.5	-	40.78	61.43	37.05	32.22	48.13
24-Feb	2018	8:00 PM	29.07	38.86	38.86	59.19	-	49.9	-	38.86	60.04	29.07	30.73	39.02
24-Feb	2018	9:00 PM	23.13	37.84	37.84	51.13	-	45	-	37.84	56.29	23.13	29.6	29.6
24-Feb	2018	10:00 PM	28.03	36.35	37.37	53.1	-	40	-	37.37	57.21	28.03	31.01	31.01
24-Feb	2018	11:00 PM	23.52	33.51	36.96	52.01	-	38.18	-	36.96	57.62	23.52	27.1	27.1
25-Feb	2018	12:00 AM	31.02	37.66	37.66	51.43	-	39.1	-	37.66	58.09	31.02	25.53	25.53
25-Feb	2018	1:00 AM	29.14	37.51	37.51	50.88	-	47	-	37.51	58.02	29.14	25.24	25.24
25-Feb	2018	2:00 AM	31.01	37.21	37.21	48.1	-	42	-	37.21	58.01	31.01	26.08	26.08
25-Feb	2018	3:00 AM	31.77	36.87	36.87	38.95	-	38.95	-	36.87	53.81	31.77	26.1	26.1
25-Feb	2018	4:00 AM	33.6	36.78	36.78	34.76	-	34.76	-	36.78	52.92	33.6	26.9	26.9
25-Feb	2018	5:00 AM	34.26	37.19	37.19	36	-	36	-	37.19	53.96	34.26	27.1	27.1
25-Feb	2018	6:00 AM	32.25	37.63	37.63	36.42	-	36.42	-	37.63	57.98	32.25	28.75	28.75
25-Feb	2018	7:00 AM	35.07	38.11	38.11	37	-	37	-	38.11	59.03	35.07	32	32
25-Feb	2018	8:00 AM	36.94	38.43	38.43	39.7	-	39.7	-	38.43	60.74	49.2	31.58	31.58
25-Feb	2018	9:00 AM	35.9	39.13	39.13	44.88	-	44.88	-	39.13	61.36	52.5	32.09	32.09
25-Feb	2018	10:00 AM	35.04	39.33	39.33	44.03	-	44.03	-	39.33	60.84	52.5	31.9	31.9
25-Feb	2018	11:00 AM	36.04	38.93	38.93	44.27	-	44.27	-	38.93	60.78	54.86	31.12	31.12
25-Feb	2018	12:00 PM	31.93	36.93	38.5	42.73	-	42.73	-	38.5	60	55.35	29.2	29.2
25-Feb	2018	1:00 PM	30.08	33.42	37.6	39.1	-	39.1	-	37.6	58.56	51.11	25.6	25.6
25-Feb	2018	2:00 PM	30.06	30.06	36.74	32.45	-	32.45	-	36.74	58.58	50.35	25.58	25.58
25-Feb	2018	3:00 PM	30.09	30.09	36.8	31.07	-	35.63	-	36.8	59.55	46.62	28.41	28.41
25-Feb	2018	4:00 PM	34.72	34.72	37.47	34.72	-	34.72	-	37.47	62.17	34.72	33	33
25-Feb	2018	5:00 PM	42.06	42.06	41.77	42.99	-	47	-	41.77	63.71	42.06	41.5	41.67
25-Feb	2018	6:00 PM	45.96	45.96	45.96	56.8	-	56.8	-	45.96	70.01	63.3	46.5	47.91
25-Feb	2018	7:00 PM	43.59	43.59	43.59	62.83	-	104.59	-	43.59	64.73	43.59	45.5	45.5
25-Feb	2018	8:00 PM	39.94	39.94	39.94	62.5	-	79.9	-	39.94	63.72	62.5	42.7	42.7
25-Feb	2018	9:00 PM	38.07	38.07	38.07	53.13	-	53.13	-	38.07	61.92	57.5	39.53	39.53
25-Feb	2018	10:00 PM	37.84	37.84	37.84	55.5	-	55.5	-	37.84	60.78	37.84	38.62	38.62
25-Feb	2018	11:00 PM	36.51	36.51	36.51	52.39	-	45.1	-	36.51	60.03	36.51	34.56	34.56
26-Feb	2018	12:00 AM	31.64	31.64	36.03	50.64	-	47.3	-	36.03	57.52	31.64	31.58	31.58
26-Feb	2018	1:00 AM	36.04	36.04	36.04	47	-	46	-	36.04	55.97	36.04	31.45	31.45
26-Feb	2018	2:00 AM	35.44	35.44	35.44	46.27	-	46.27	-	36.04	56	35.44	31.52	31.52
26-Feb	2018	3:00 AM	34.97	34.97	34.97	44.07	-	44.07	-	36.12	54.54	34.97	31.53	31.53
26-Feb	2018	4:00 AM	31.84	31.84	36.75	44.61	-	44.61	-	36.75	55.05	31.84	31.44	31.44
26-Feb	2018	5:00 AM	37.59	37.59	38.94	46.44	-	46.44	-	38.94	57.43	37.59	36.98	36.98
26-Feb	2018	6:00 AM	47.98	47.98	46.63	53.97	-	53.6	-	46.63	64.46	47.98	55.47	55.47
26-Feb	2018	7:00 AM	69.33	69.33	67.66	69.54	-	69.9	-	67.66	70.85	69.33	69.01	69.01
26-Feb	2018	8:00 AM	63	63	64.67	73.39	-	77.45	-	64.67	74.82	63	65.7	65.7
26-Feb	2018	9:00 AM	48.44	48.44	48.59	65.62	-	70.1	-	48.59	72.34	48.44	61	61
26-Feb	2018	10:00 AM	42.7	42.7	46.32	64.28	-	69.36	-	46.32	73.16	42.7	55.82	55.82
26-Feb	2018	11:00 AM	38.05	41.94	43.63	63.3	-	65.07	-	43.63	71.23	38.05	50.75	50.75
26-Feb	2018	12:00 PM	38.07	41.71	41.96	61.87	-	58.5	-	41.96	68.32	38.07	46.97	46.97
26-Feb	2018	1:00 PM	39.94	41.21	41.21	61.97	-	61.53	-	41.21	65.11	39.94	45.98	45.98
26-Feb	2018	2:00 PM	41.25	41.25	41.25	59.77	-	59.77	-	41.25	65.91	41.25	46.98	46.98
26-Feb	2018	3:00 PM	42.23	42.23	42.23	57.4	-	57.4	-	42.23	65.99	42.23	51.72	51.72
26-Feb	2018	4:00 PM	45	45	45	56.1	-	56.1	-	45	65.52	45	55.68	55.68
26-Feb	2018	5:00 PM	52.95	52.95	52.95	62.1	-	62.1	-	52.95	72.28	52.95	64.41	64.41
26-Feb	2018	6:00 PM	73.73	73.73	73.73	81	-	81	-	73.73	109.92	73.73	72.7	72.7
26-Feb	2018	7:00 PM	71.85	57.65	57.65	90.33	-	89.8	-	57.65	92.97	71.85	67.53	67.53
26-Feb	2018	8:00 PM	61.92	46.81	46.81	73.83	-	73.83	-	46.81	79.19	61.92	59	59
26-Feb	2018	9:00 PM	49.92	43.1	43.1	64.63	-	55	-	43.1	68.76	49.92	51.55	51.55
26-Feb	2018	10:00 PM	44.93	40	40	63.03	-	49.9	-	40	64.61	44.93	44.27	44.27
26-Feb	2018	11:00 PM	41.98	38.93	38.93	61.35	-	49.9	-	38.93	61.55	41.98	39.62	39.62
27-Feb	2018	12:00 AM	39.75	39.75	39.75	57.95	-	49.9	-	39.75	63.42	39.75	39.94	39.94
27-Feb	2018	1:00 AM	38.28	38.28	38.28	56.17	-	43.2	-	38.28	61.72	38.28	38.82	38.82
27-Feb	2018	2:00 AM	37.66	37.66	37.66	59.47	-	49.9	-	37.66	60.88	37.66	37.8	37.8
27-Feb	2018	3:00 AM	37.69	37.69	37.69	55.58	-	47.12	-	37.69	59.55	37.69	36.84	36.84
27-Feb	2018	4:00 AM	38.7	38.7	38.7	54.93	-	49.9	-	38.7	59.05	38.7	37.7	37.7
27-Feb	2018	5:00 AM	40.81	40.81	40.81	55.82	-	55.43	-	40.81	62	40.81	41.7	41.7
27-Feb	2018	6:00 AM	54	43.09	43.09	69.22	-	56	-	43.09	75.95	54	54	54
27-Feb	2018	7:00 AM	79.06	56.16	71.98	98.19	-	89.62	-	71.98	109.05	79.06	72.79	72.79
27-Feb	2018	8:00 AM	77.11	42.01	72.38	124.1	-	77.24	-	72.38	114.79	77.11	70.93	71.91
27-Feb	2018	9:00 AM	51.77	41.98	50.53	102	-	72	-	50.53	113.14	51.77	60.74	62.77
27-Feb	2018	10:00 AM	46.97	41.97	45.85	92.25	-	48.5	-	45.85	111.14	46.97	52.27	58.1
27-Feb	2018	11:00 AM	43.79	41.2	43.13	89.9	-	43.79	-	43.13	94.98	113.55	47.5	80
27-Feb	2018	12:00 PM	42.71	40.6	42.44	81.2	-	42.71	-	42.44	86.52	112.79	45.7	60.08
27-Feb	2018	1:00 PM	42.01	40.45	41.91	78.86	-	42.01	-	41.91	85.01	58.39	44.91	58.39
27-Feb	2018	2:00 PM	43.31	40.09	42.27	70.82	-	43.31	-	42.27	84.71	43.31	45.65	59.16
27-Feb	2018	3:00 PM	46.99	39.93	45.27	65.84	-	47.2	-	45.27	80.09	46.99	50.01	58.15
27-Feb	2018	4:00 PM	48.17	39.94	47.01	69.68	-	66.03	-	47.01	81.55	48.17	52.75	66.04
27-Feb	2018	5:00 PM	63.63	41.39	62.1	71.06	-	67.33	-	62.1	85.95	63.63	63.64	90.02
27-Feb	2018	6:00 PM	75.12	41.95	73.32	151.42	-	75.12	-	73.32	146.25	75.12	76.36	86.04
27-Feb	2018	7:00 PM	57.06	41.22	52.31	159.4	-	58.5	-	52.31	161.35	57.06	67.69	80
27-Feb	2018	8:00 PM	46.97	41.14	45.85	129.5	-	49.9	-	45.85	127.36	46.97	57.05	72.06
27-Feb	2018	9:00 PM	41.68	40.61	40.99	72	-	47.4	-	40.99	98.01	42.1	48.96	51.09
27-Feb	2018	10:00 PM	38.03	38.03	38.72	77.85	-	47.4	-	38.72	100.93	100	44.99	47.22
27-Feb	2018	11:00 PM	35.44	35.44	35.44	66.92	-	43.2	-	37.72	86.07	35.44	39	39
28-Feb	2018	12:00 AM	32.09	32.09	32.09	76.66	-	49.1	-	37.98	68.27	32.09	36	36
28-Feb	2018	1:00 AM	32.08	32.08	32.08	75.11	-	49.9	-	37.7	67.24	32.08	35.36	35.36
28-Feb	2018	2:00 AM	32.1	32.1	32.1	71.96	-	44.9	-	37.7	64.25	32.1	35	35
28-Feb	2018	3:00 AM	36.91	36.91	37.82	68.99	-	44.5	-	37.82	62.21	36.91	34.25	34.25
28-Feb	2018	4:00 AM	35.51	35.51	38.06	65.38	-	45	-	38.06	61.71	35.51	34.86	34.86
28-Feb	2018	5:00 AM	36.99	36.99	39.02	68.63	-	44.8	-	39.02	65.35	36.99	37.4	37.4
28-Feb	2018	6:00 AM	47.21	44.98	44.98	82	-	48	-	44.98	72.94	82	46.01	46.01
28-Feb	2018	7:00 AM	57.18	57.18	57.38	95.42	-	75.37	-	57.38	103.38	57.18	57.66	57.66
28-Feb	2018	8:00 AM	54	47.35	70.67	120.1	-	89.68	-	70.67	135.67	67.99	55.13	55.13
28-Feb	2018	9:00 AM	44.95	44.95	68.83	114.41	-	79.9	-	68.83	126.1	114.41	55.19	55.19
28-Feb	2018	10:00 AM	32.65	32.65	68.04	97	-	48	-	68.04	109.27	97	59.63	59.63
28-Feb	2018	11:00 AM	31.37	31.37	50.09	90.08	-	39.9	-	50.09	98.72	90.08	58	58
28-Feb	2018	12:00 PM	32.84	32.84	44.97	79.23	-	38	-	44.97	93.25	79.23	65	65
28-Feb	2018	1:00 PM	32.06	32.06	43.47	79.59	-	36	-	43.47	85.21	79.59	55	55
28-Feb	2018	2:00 PM	32.51	32.51	42.89	80.54	-	34.9	-	42.89	84.95	80.54	53	53
28-Feb	2018	3:00 PM	32.01	32.01	42.82	58.93	-	45	-	42.82	76.98	81.81	54.08	54.08
28-Feb	2018	4:00 PM	35.1	35.1	44.96	64.49	-	61.11	-	44.96	77.22	86.21	52	52
28-Feb	2018	5:00 PM	42.99	42.99	67.94	69.07	-	65.44	-	67.94	82.35	85.27	60.4	60.4
28-Feb	2018	6:00 PM	45.97	42.9	72.91	92.79	-	75	-	72.91	126.5	92.79	58.31	61.64
28-Feb	2018	7:00 PM	43.98	41.8	50.87	105.54	-	49.1	-	50.87	116.31	105.54	53	57.85
28-Feb	2018	8:00 PM	38.9	38.9	44.91	83.84	-	60.1	-	44.91	89.56	83.84	58.71	58.71
28-Feb	2018	9:00 PM	32.07	32.07	41.54	64.64	-	49	-	41.54	65.2	80.32	52	53.03
28-Feb	2018	10:00 PM	32.06	32.06	38.72	61.36	-	42	-	38.72	65.24	79.14	34.1	40.67
28-Feb	2018	11:00 PM	31.25	31.25	37.76	55.89	-	39.9	-	37.76	62.33	75.11	29.59	37.21
01-Mar	2018	12:00 AM	29.09	29.09	39.52	80.79	-	40.83	-	39.52	75.09	80	30.45	30.45
01-Mar	2018	1:00 AM	30.01	30.01	39.05	76.66	-	43.29	-	39.05	71.05	76.66	29.65	29.65
01-Mar	2018	2:00 AM	28.5	28.5	38.83	75.11	-	33.71	-	38.83	67.91	30	28.09	28.09
01-Mar	2018	3:00 AM	28.99	28.99	39.02	69	-	36.2	-	39.02	65.29	30	30.99	30.99
01-Mar	2018	4:00 AM	30.53	30.53	39.6	60.4	-	36.78	-	39.6	64.82	47	36.02	36.02
01-Mar	2018	5:00 AM	30.53	30.53	42.02	68.01	-	40.63	-	42.02	66.27	68.01	41	45.07
01-Mar	2018	6:00 AM	31.8	31.8	62.17	93.09	-	41.01	-	62.17	77.91	93.09	60	84.65
01-Mar	2018	7:00 AM	39.87	39.87	199.92	94.1	-	80	-	199.92	94.95	94.1	55	90
01-Mar	2018	8:00 AM	39.75	42.04	255.02	104.26	-	98.79	-	255.02	113.15	104.26	50.54	90.88
01-Mar	2018	9:00 AM	32.58	40.7	205	115.41	-	109	-	205	119.38	115.41	37.85	100
01-Mar	2018	10:00 AM	25.08	39.78	192.64	112.02	-	100.1	-	192.64	99.04	112.02	32.3	101.99
01-Mar	2018	11:00 AM	23.72	28.23	131.61	113.55	-	70	-	131.61	96.79	113.55	30.03	100
01-Mar	2018	12:00 PM	22.82	22.82	107.98	85.3	-	68.9	-	107.98	86.89	99.5	31.01	96.98
01-Mar	2018	1:00 PM	21.45	26.41	90.03	83.21	-	64.9	-	90.03	84.77	99.5	35.1	95.71
01-Mar	2018	2:00 PM	15.13	26.58	58.55	72.63	-	68.7	-	58.55	89.92	101.01	57	95.52
01-Mar	2018	3:00 PM	18.78	39.76	62.05	73.07	-	68.7	-	62.05	87.7	114.41	77.96	100
01-Mar	2018	4:00 PM	27.18	39.8	67.63	65.7	-	75	-	67.63	85.6	100	65	100.37
01-Mar	2018	5:00 PM	34.29	34.29	119.65	71.76	-	81.9	-	119.65	78.88	99.55	65	101.56
01-Mar	2018	6:00 PM	41.49	41.49	153.34	98.19	-	107.23	-	153.34	90.64	99.95	70	110
01-Mar	2018	7:00 PM	41.37	41.37	99.94	106.15	-	124.9	-	99.94	96.71	106.15	65	110
01-Mar	2018	8:00 PM	35.58	35.58	59.47	85.77	-	101.5	-	59.47	74.65	99.99	57	96.9
01-Mar	2018	9:00 PM	30.64	30.64	51.15	79.74	-	87.04	-	51.15	65.05	91.69	35	80.29
01-Mar	2018	10:00 PM	30.74	30.74	41.99	83.21	-	82.62	-	41.99	61.1	85	32.25	66.58
01-Mar	2018	11:00 PM	30.55	30.55	39.09	55.66	-	55.08	-	39.09	57.07	76.26	30.25	57.34
02-Mar	2018	12:00 AM	28.98	28.98	28.98	77.7	-	59.9	-	40.01	65.86	28.98	32.55	50.48
02-Mar	2018	1:00 AM	30.32	30.32	30.32	61.15	-	39.94	-	38.86	65.93	30.32	33.88	36.03
02-Mar	2018	2:00 AM	30.51	30.51	38.81	50.91	-	39.31	-	38.81	65.26	30.51	33.95	33.95
02-Mar	2018	3:00 AM	30.54	30.54	38.99	42.12	-	39.25	-	38.99	65.21	30.54	32.59	32.59
02-Mar	2018	4:00 AM	30	30	40.07	39.5	-	39.5	-	40.07	64.63	30	33.6	34.1
02-Mar	2018	5:00 AM	32.54	32.54	40.44	54.08	-	53.72	-	40.44	66.8	32.54	36	52.98
02-Mar	2018	6:00 AM	42.98	42.98	44.03	78.1	-	82.42	-	44.03	82.79	52.6	46.5	61.01
02-Mar	2018	7:00 AM	45.94	45.94	67.81	113.67	-	119	-	67.81	95.07	113.67	53.12	69.5
02-Mar	2018	8:00 AM	46	46	119.06	97.91	-	102	-	119.06	109.83	118.2	50	80.14
02-Mar	2018	9:00 AM	42.98	42.98	119.47	122.33	-	121.47	-	119.47	107.42	125.86	43.9	100
02-Mar	2018	10:00 AM	32.71	32.71	100.02	104.05	-	120	-	100.02	116.53	121	39.54	96.9
02-Mar	2018	11:00 AM	31	31	80	74.98	-	104.67	-	80	117.95	121.5	36.7	95.5
02-Mar	2018	12:00 PM	31.07	31.07	60.58	65.56	-	88.9	-	60.58	99.95	110.86	35.53	82.28
02-Mar	2018	1:00 PM	33.04	33.04	52.97	70.4	-	95.56	-	52.97	99.94	108.64	35.1	71.13
02-Mar	2018	2:00 PM	35.01	35.01	46.59	92.37	-	102	-	46.59	96.92	110.55	36.91	68.9
02-Mar	2018	3:00 PM	37.88	37.88	43.81	103.31	-	96.6	-	43.81	99.03	116.96	40.56	68.42
02-Mar	2018	4:00 PM	42.93	42.93	43.99	108.08	-	59.9	-	43.99	97.54	47.79	44.39	69.54
02-Mar	2018	5:00 PM	51.75	51.75	51.75	90.42	-	118.88	-	51.75	96.12	107.27	54.5	86.01
02-Mar	2018	6:00 PM	75.95	75.95	75.95	101.23	-	120	-	75.95	118.04	97	66.46	91.37
02-Mar	2018	7:00 PM	63.76	63.76	63.76	133.39	-	175	-	63.76	118.06	93	62.78	90.08
02-Mar	2018	8:00 PM	47.95	47.95	47.95	107.89	-	96.6	-	47.95	100.64	89.29	52.16	84.29
02-Mar	2018	9:00 PM	43.76	43.76	43.76	76.55	-	100.77	-	43.76	85.11	66.55	46.17	61.55
02-Mar	2018	10:00 PM	42.72	41.69	41.69	80.05	-	84.5	-	41.69	79.55	82.37	42.5	68.63
02-Mar	2018	11:00 PM	39.76	39.76	39.76	71.55	-	75.51	-	39.76	71.32	56	39.79	60.91
03-Mar	2018	12:00 AM	33.09	33.09	41.81	61.53	-	84.39	-	41.81	55.58	33.09	37.67	37.67
03-Mar	2018	1:00 AM	36.49	36.49	40.22	50.49	-	60	-	40.22	55.05	36.49	35	35
03-Mar	2018	2:00 AM	34.94	34.94	39.06	42.64	-	42.64	-	39.06	54.05	34.94	34.13	34.13
03-Mar	2018	3:00 AM	34.23	34.23	39.54	37.72	-	40.85	-	39.54	53.03	34.23	33.92	33.92
03-Mar	2018	4:00 AM	34.48	34.48	39.77	36.23	-	41.08	-	39.77	52.03	34.48	33.54	33.54
03-Mar	2018	5:00 AM	34.1	34.1	40.83	36.36	-	42.18	-	40.83	52	34.1	33.45	33.45
03-Mar	2018	6:00 AM	32.5	39.22	42.48	38.91	-	55.4	-	42.48	52.07	32.5	30.99	32.03
03-Mar	2018	7:00 AM	31.26	40.16	42.91	42.19	-	66	-	42.91	55.03	31.26	35.01	38.42
03-Mar	2018	8:00 AM	41.67	41.67	44.27	48.03	-	59.13	-	44.27	55.55	41.67	38.93	42.83
03-Mar	2018	9:00 AM	36.98	39.34	50.79	52.85	-	87.06	-	50.79	57.05	38.1	37.75	45.58
03-Mar	2018	10:00 AM	30.67	40.65	50.53	58.21	-	107.36	-	50.53	57.06	32.1	33.5	40.53
03-Mar	2018	11:00 AM	30.1	40.6	46.08	50.07	-	93.32	-	46.08	56.63	50	30.01	42.96
03-Mar	2018	12:00 PM	31.34	40.55	43.12	44.45	-	80.1	-	43.12	57.05	45	28.94	33.96
03-Mar	2018	1:00 PM	30.09	33.44	41.61	43.29	-	65	-	41.61	57.02	32	27.8	32.04
03-Mar	2018	2:00 PM	31.35	39.25	40.88	40.89	-	45	-	40.88	55.59	31.35	27.77	30.02
03-Mar	2018	3:00 PM	31.73	39.08	40.41	40.37	-	40.37	-	40.41	55.6	31.73	30.13	31.96
03-Mar	2018	4:00 PM	31.39	40	40.97	41.7	-	58.97	-	40.97	57.01	37.46	36.15	37.84
03-Mar	2018	5:00 PM	42	43.25	50.12	44.92	-	50.1	-	50.12	56.8	42	43	46.08
03-Mar	2018	6:00 PM	42	48.2	59.7	52.52	-	75.24	-	59.7	57.21	42	48	66.31
03-Mar	2018	7:00 PM	39.05	45.11	45.11	63.14	-	116.1	-	45.11	57.07	39.05	44.12	68.47
03-Mar	2018	8:00 PM	37.71	41	41	56.56	-	71.04	-	41	56.62	37.71	39.25	61.61
03-Mar	2018	9:00 PM	34.51	39.09	40.2	43.96	-	60	-	40.2	55.05	34.51	36.27	55.17
03-Mar	2018	10:00 PM	35.88	35.88	39.06	52	-	52	-	39.06	53.46	35.88	35.5	40.03
03-Mar	2018	11:00 PM	30.24	30.24	38.48	50.48	-	50.48	-	38.48	52.01	30.24	32.93	32.93
04-Mar	2018	12:00 AM	30.08	30.08	40.37	50	-	74.9	-	40.37	55.86	30.08	27.91	27.91
04-Mar	2018	1:00 AM	30.07	30.87	40.02	45.94	-	45.94	-	40.02	51.71	30.07	25.47	25.47
04-Mar	2018	2:00 AM	30.17	31.7	39.68	42	-	42	-	39.68	49.01	30.17	25.4	25.4
04-Mar	2018	3:00 AM	30.17	32.94	39.56	38.85	-	40.87	-	39.56	48.19	30.17	24.3	24.3
04-Mar	2018	4:00 AM	30.28	30.28	39.48	37.91	-	40.78	-	39.48	48.15	30.28	24.97	24.97
04-Mar	2018	5:00 AM	30.24	30.24	39.51	38.6	-	40.81	-	39.51	50.61	30.24	25.25	25.25
04-Mar	2018	6:00 AM	30.06	30.06	39.89	39.1	-	39.1	-	39.89	52.52	30.06	24.98	24.98
04-Mar	2018	7:00 AM	30.06	35.56	40	39.81	-	41.33	-	40	53.02	30.06	26.3	26.3
04-Mar	2018	8:00 AM	34.95	40.3	41.58	40	-	47.89	-	41.58	53.03	34.95	30.45	30.45
04-Mar	2018	9:00 AM	35.22	35.22	41.65	42.85	-	55	-	41.65	52.63	35.22	32.45	32.45
04-Mar	2018	10:00 AM	34.39	34.39	42.97	42.76	-	61.41	-	42.97	53.09	34.39	32.1	32.45
04-Mar	2018	11:00 AM	32.57	32.57	42.68	46.35	-	71.49	-	42.68	53.08	32.57	31.89	35.02
04-Mar	2018	12:00 PM	30.08	30.08	41.71	50.45	-	89.9	-	41.71	53.03	32	29.24	35.54
04-Mar	2018	1:00 PM	29.26	29.26	40.77	49.29	-	49.29	-	40.77	51.92	32	27.98	33.65
04-Mar	2018	2:00 PM	29.12	29.12	40.22	43.89	-	43.89	-	40.22	52.44	30.01	28.3	34.81
04-Mar	2018	3:00 PM	30.39	30.39	39.5	40.16	-	40.16	-	39.5	53.97	30.39	31.08	32.07
04-Mar	2018	4:00 PM	34.06	34.06	40.05	35.95	-	40.15	-	40.05	55.89	34.06	35	36.19
04-Mar	2018	5:00 PM	33.08	33.08	44.36	40.6	-	58.2	-	44.36	59.55	33.08	39.64	52.03
04-Mar	2018	6:00 PM	35.37	40.34	47.68	45.84	-	70.34	-	47.68	61.67	50	45.29	70.62
04-Mar	2018	7:00 PM	35.74	35.74	45.34	53.21	-	91.37	-	45.34	61.77	35.74	41	68.47
04-Mar	2018	8:00 PM	30.35	30.35	40.96	52.14	-	102.55	-	40.96	61.73	30.35	38.14	52.06
04-Mar	2018	9:00 PM	30.36	30.36	39.65	43	-	56.89	-	39.65	58.41	30.36	33.45	40.09
04-Mar	2018	10:00 PM	30.07	30.07	38.7	45.94	-	82.64	-	38.7	58.39	30.07	32.22	35.58
04-Mar	2018	11:00 PM	25.7	25.7	38.25	42	-	51.5	-	38.25	55.88	25.7	29.94	29.94
05-Mar	2018	12:00 AM	24.74	24.74	37.9	39.1	-	39.15	-	37.9	51.03	24.74	29.01	29.01
05-Mar	2018	1:00 AM	20.92	20.92	37.43	38.37	-	38.37	-	37.43	49.18	20.92	30.01	30.01
05-Mar	2018	2:00 AM	16.31	16.31	37.47	36.19	-	38.71	-	37.47	48	16.31	30.11	30.11
05-Mar	2018	3:00 AM	16.61	16.61	37.8	34.39	-	39.05	-	37.8	47.96	16.61	28.97	28.97
05-Mar	2018	4:00 AM	27.08	27.08	38.15	33	-	33	-	38.15	48.15	27.08	31.02	31.02
