Date;Time of day;Germany/Austria/Luxembourg[Euro/MWh];Denmark 1[Euro/MWh];Denmark 2[Euro/MWh];France[Euro/MWh];Northern Italy[Euro/MWh];Netherlands[Euro/MWh];Poland[Euro/MWh];Sweden 4[Euro/MWh];Switzerland[Euro/MWh];Slovenia[Euro/MWh];Czech Republic[Euro/MWh];Hungary[Euro/MWh]
Jun 23, 2017;1:00 AM;23.55;23.55;23.55;33.3;51.59;27.02;-;23.55;31.35;51.59;34;34
Jun 23, 2017;2:00 AM;22.43;22.43;22.43;29.1;48.69;25.5;-;22.43;29.98;48.69;32.9;32.9
Jun 23, 2017;3:00 AM;21.41;21.41;21.41;28.11;47.99;27;-;21.41;29.08;47.99;29.53;33.05
Jun 23, 2017;4:00 AM;21.59;21.59;21.59;28.18;47.95;27;-;21.59;28.01;47.95;26.7;30.88
Jun 23, 2017;5:00 AM;23.34;23.34;23.34;28.73;47.46;25.92;-;23.34;27.03;47.46;26.7;33.05
Jun 23, 2017;6:00 AM;28.09;26.86;26.86;31.36;48.2;29.34;-;26.86;28.03;48.2;32.1;49.99
Jun 23, 2017;7:00 AM;36.26;36.26;36.26;36.26;55.65;36.26;-;31.02;31.62;55.65;38;57.11
Jun 23, 2017;8:00 AM;38.28;38.28;38.28;38.28;77.28;38.28;-;32.81;37.77;77.28;39.05;67.6
Jun 23, 2017;9:00 AM;34.09;34.09;34.09;39.49;74.49;42.4;-;33.27;38.38;74.49;38.7;67.8
Jun 23, 2017;10:00 AM;30.45;30.45;30.45;37.42;73.2;44;-;30.45;37.03;73.2;41.99;63.88
Jun 23, 2017;11:00 AM;29.05;29.05;29.05;37.37;73.4;41.86;-;29.05;38.16;73.4;35.9;67.02
Jun 23, 2017;12:00 PM;27.77;27.77;27.77;33.77;69.28;38.48;-;27.77;39;69.28;33.45;62.41
Jun 23, 2017;1:00 PM;26.1;26.1;26.1;34.55;69.28;31;-;26.1;38.59;69.28;29.9;59.08
Jun 23, 2017;2:00 PM;25.07;25.07;25.07;35.9;70;33.41;-;25.07;39.03;70;27.36;64.48
Jun 23, 2017;3:00 PM;24.98;24.98;24.98;34.55;69.28;29.31;-;24.98;38.03;69.28;28.08;60.02
Jun 23, 2017;4:00 PM;25.01;25.01;25.01;34.07;76.8;27.07;-;25.01;37.58;76.8;40;55.09
Jun 23, 2017;5:00 PM;29.06;27.68;27.68;31.25;70.4;29.06;-;27.68;37.14;70.4;40.99;54.09
Jun 23, 2017;6:00 PM;36.46;27.66;27.66;36.46;65;36.46;-;27.66;36.02;65;37.51;48.68
Jun 23, 2017;7:00 PM;38.42;27.55;27.55;38.42;65.27;38.42;-;27.55;37.57;65.27;40.25;55.07
Jun 23, 2017;8:00 PM;38.44;25.25;25.25;38.44;64.17;38.44;-;25.25;39.7;64.17;40.05;55
Jun 23, 2017;9:00 PM;37.98;25.16;25.16;37.98;63.5;37.98;-;25.16;39.14;63.5;39.48;58.07
Jun 23, 2017;10:00 PM;39.23;25.61;25.61;39.23;52.09;39.23;-;25.61;38.49;52.09;38.32;52.05
Jun 23, 2017;11:00 PM;36.43;25.16;25.16;38.29;50;36.43;-;25.16;38.75;50;33.99;47.67
Jun 24, 2017;12:00 AM;29.33;25.12;25.12;29.33;56.67;29.33;-;25.12;35.85;37.01;30.81;40.09
Jun 24, 2017;1:00 AM;28.01;23.78;23.78;28.01;49.45;28.01;-;23.78;31.03;35.71;28.07;30.93
Jun 24, 2017;2:00 AM;24.01;23.24;23.24;24.01;47.46;24.01;-;23.24;28.83;35.71;26.6;28.1
Jun 24, 2017;3:00 AM;23.02;22.28;22.28;23.02;47.34;23.02;-;22.28;28.33;35.71;24.6;25.85
Jun 24, 2017;4:00 AM;20.6;20.28;20.28;20.6;46.83;20.6;-;20.28;27.1;35.71;23;23
Jun 24, 2017;5:00 AM;19.99;19.99;19.99;19.99;46.51;19.99;-;19.99;25.91;35.71;22.59;23.11
Jun 24, 2017;6:00 AM;22.09;22.09;22.09;22.09;44;22.09;-;22.09;24.7;34;24.5;31.61
Jun 24, 2017;7:00 AM;24.53;23.75;23.75;24.53;45.45;24.53;-;23.75;25.15;34.01;23.7;36.59
Jun 24, 2017;8:00 AM;25.66;24.03;24.03;25.66;47.34;25.66;-;24.03;25.97;47.34;24;48.71
Jun 24, 2017;9:00 AM;24.8;24.8;23.93;25.86;47.34;27;-;23.93;27.76;47.34;22.74;51.07
Jun 24, 2017;10:00 AM;22;22;22.88;25.27;47.46;26.06;-;22.88;28.81;47.46;20.08;53.01
Jun 24, 2017;11:00 AM;11.82;22.37;22.37;25.31;46.81;29.3;-;22.37;27.64;46.81;29.99;57.01
Jun 24, 2017;12:00 PM;11.79;22.14;22.14;26.23;44;29.77;-;22.14;28.12;44;31;57.02
Jun 24, 2017;1:00 PM;10.32;21.42;21.42;23.42;43.45;33.56;-;21.42;27.09;43.45;27.2;53.54
