l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
393,87611958,87607280,110000,6,line,50,-110 kV Euskirchen Nord+Süd,RWE,18899.0,,,,,
394,42560064,42560068,110000,6,line,50,110kV Warendorf West-110kV Warendorf Ost+West,RWE,15384.0,,,,,Yes
395,99177026,99175760,110000,6,line,,,RWE,14808.0,,,,,Yes
396,99177026,97822283,110000,6,line,,,RWE,19324.0,,,,,Yes
397,253436485,127983374,110000,3,cable,50,Klinikum Kabel 1,RWE,1966.0,,,,,
398,89287238,31762305,110000,12,line,50,-110kV Neuss Ost+West+2xANK,RWE,8436.0,,,,,Yes
399,42672712,42669913,110000,6,line,50,-Borken - Ehringhausen-Warburg - Oelde-Borken - Warburg-Borken - Ehringhausen-Borken - Warburg-Warburg - Oelde,DB_Energie-RWE,18443.0,,,,,Yes
400,42672712,35167444,110000,10,line,50,-Borken 2-Warburg - Oelde 1-110 kv Bahnstrom Borken - Ehringhausen- Warburg - Oelde-Oelde - Münster-Warburg - Oelde-Warburg - Oelde- Münster - Ehringhausen-Warburg - Oelde-Oelde - Münster,DB_Energie-RWE,84760.0,,,,,Yes
401,42672712,34837564,110000,10,line,50,-Borken 2-Warburg - Oelde 1-110 kv Bahnstrom Borken - Ehringhausen- Warburg - Oelde-Warburg - Oelde- Münster - Ehringhausen-Warburg - Oelde-Münster - Osnabrück-Ehringhausen - Münster-Oelde - Münster-Oelde1-Ehringhausen - Münster-Oelde - Münster,DB_Energie-RWE,121037.0,,,,,Yes
402,42672712,33970079,110000,10,line,50,-Borken 2-Warburg - Oelde 1-110 kv Bahnstrom Borken - Ehringhausen- Warburg - Oelde-Warburg - Oelde-Münster - Ehringhausen,DB_Energie-RWE,54346.0,,,,,Yes
